question, op1, op2, op3, op4, ans, difficulty
0,1. she has great love and affection _________ her grandmother.,for,from,with,to,for,Easy
1,2. but there is more ________ Argentina's red wines than Malbec only.,in,to,from,at,to,Easy
2,3. opapue glass is the kind of material____ ___ which you cannot see.,into,through,from,between,through,Easy
3,4. 25 paise coins are fast becoming.. obsolete.,smaller,older,rare,outdated,outdated,Easy
4,5. the omly evidance was a pice of crumpled paper lying in a cornor.,torn,burnt,wrinkled,dirty,wrinkled,Easy
5,6. his plans started going awry the moment he began his journy to nagaland.,well,smoothly,wrong,slowly,wrong,Easy
6,7. the brahmputra rises in the himaliya in _______ Tibet.,a,an,the,no article need,no article need,Easy
7,8. it is suspect that _______ colleague committed the murder.,a,an,the,no article need,a,Easy
8,9. ________ ice-pick was used for the murder.,a,an,the,no article need,an,Easy
9,10. it was no dout ________ stupidity to admit her into our gang,a,an,the,no article need.,a,Easy
10,1. A certain number of men take 45 days to complete work. If there are 10 men less then they will take 60 days to complete the work. Find the original number of men.,50,60,30,40,40,Medium
11,2. 5 men and 10 boys can do a piece of work in 30 days and 8 men and 12 boys can do the work in 20 days then the ratio of daily work done by a man to that of a boy.,05:01,04:05,06:01,07:03,06:01,Hard
12,3. 4 women and 5 men working together can do 3 times the work done by 2 women and one man together. Calculate the work of a man to that of a woman.,01:01,03:02,01:02,02:01,01:01,Medium
13,"4. Manoj can do a work in 20 days, while Chandu can do the same work in 25 days. They started the work jointly. A few days later Suresh also joined them and thus all of them completed the whole work in 10 days. All of them were paid total Rs.1000. What is the share of Suresh?",100,300,200,400,100,Hard
14,"5. Nagarjuna lends Rs 30,000 of two of his friends. He gives Rs 15,000 to the first at 6% p.a. simple interest. He wants to make a profit of 10% on the whole. The simple interest rate at which he should lend the remaining sum of money to the second friend is",8%,12%,14%,16%,14%,Medium
15,"6. A portion of $6600 is invested at a 5% annual return, while the remainder is invested at a 3% annual return. If the annual income from the portion earning a 5% return is twice that of the other portion, what is the total income from the two investments after one year?",270,250,280,200,270,Hard
16,"7. While calculating the weight of a group of men, the weight of 63 kg of one of the member was mistakenly written as 83 kg. Due to this the average of the weights increased by half kg. What is the number of men in the group?",25,20,40,60,40,Medium
17,"8. In a group of 8 boys, 2 men aged at 21 and 23 were replaced, two new boys. Due to this the average cost of the group increased by 2 years. What is the average age of the 2 new boys?",17,30,28,23,30,Hard
18,"9. A Boat takes total 16 hours for traveling downstream from point A to point B and coming back point C which is somewhere between A and B. If the speed of the Boat in Still water is 9 Km/hr and the rate of stream is 6 Km/hr, then what is the distance between A and C?",60 Km,90 Km,30 Km,Cannot be determined,Cannot be determined,Hard
19,"10. A Boat going upstream takes 8 hours 24 minutes to cover a certain distance, while it takes 5 hours to cover 5/7 of the same distance running downstream. Then what is the ratio of the speed of boat to speed of water current?",11:05,11:06,11:01,06:05,11:01,Hard
20,11. A Boat takes 128 min less to travel to 48 Km downstream than to travel the same distance upstream. If the speed of the stream is 3 Km/hr. Then Speed of Boat in still water is?,12 Km/hr,15 Km/hr,6 Km/hr,9 Km/hr,12 Km/hr,Medium
21,"12. An alloy contains Brass, Iron, and Zinc in the ratio 2:3:1 and another contains Iron, zinc, and lead in the ratio 5:4:3. If equal weights of both alloys are melted together to form a third alloy, then what will be the weight of lead per kg in new alloy?",01-Apr,41/7,01-Aug,51/9,01-Aug,Hard
22,13. A milkman mixes 6 liters of free tap water with 20litres of pure milk. If the cost of pure milk is Rs.28 per liter the % Profit of the milkman when he sells all the mixture at the cost price is,30%,16(1/3)%,25%,16.50%,30%,Medium
23,14. 144 liters of the mixture contains milk and water in the ratio 5: 7. How much milk needs to be added to this mixture so that the new ratio is 23: 21 respectively?,40 liters,28 liters,32 liters,36 liters,32 liters,Hard
24,15. A shopkeeper bought 30kg of rice at Rs.75 per kg and 20 kg of rice the rate of Rs.70. per kg.If he mixed the two brand of rice and sold the mixture at Rs.80 per kg. Find his gain,Rs.350,Rs.550,Rs.420,Rs.210,Rs.350,Medium
25,16. Cost price of 80 notebooks is equal to the selling price of 65 notebooks. The gain or loss % is,32%,42%,27%,23%,23%,Medium
26,"17. Eight years ago, Pranathi’s age was equal to the sum of the present ages of her one son and one daughter. Five years hence, the respective ratio between the ages of her daughter and her son that time will be 7:6. If Pranathi’s husband is 7 years elder to her and his present age is three times the present age of their son, what is the present age of the daughter?",19 years,27 years,15 years,23 years,23 years,Hard
27,18. Shas married 8 year ago. Today her age is 9/7 times to that time of marriage. At present his son’s age is 1/6th of her age. What was her son’s age 3 year ago?,4 yr,2 yr,3 yr,5 yr,2 yr,Medium
28,19. The respective ratio between the present age of Mani and Dheeraj is x : 42. Mani is 8 years younger than Murali. Murali’s age after 8 years will be 33 years. The difference between Dheeraj’s and Mani’s age is same as the present age of Murali. What is the value of x?,18,10,16,17,17,Hard
29,20. Revanth’s present age is three times his son’s present age and 4/5th of his father’s present age. The average of the present ages of all of them is 62 years. What is the difference between the Revanth’s son’s present age and Revanth’s father’s present age?,64 years,69 years,66 years,62 years,66 years,Hard
30,21. 36% of 945 – 26% of 765 + 17.7 =?,167,187,159,143,159,Medium
31,22. √(456÷12+142-11) =?,11,169,23,13,13,Medium
32,23. 1(1/5) of 1(1/2) of ? = 216,100,125,140,120,120,Medium
33,24. 15 32 60 122 240 ?,488,482,364,362,482,Medium
34,25. 18 10 8 9 11.5 ?,10.75,18.75,19.75,14.75,14.75,Medium
35,"1. Class A has a higher enrollment than Class B. Class C has a lower enrollment than Class B. Class A has a lower enrollment than Class C. If the first two statements are true, the third statement is",TRUE,FALSE,uncertain,,FALSE,Medium
36,2. All animals have,Eyes,Four legs,Horns,Instincts,Instincts,Easy
37,"3. We, at Comfort Stationers, have always been striving to provide stationery items that would make your work more enjoyable and less strenuous. Our latest innovations are a smooth-flow pen and gradual-friction paper. A combination of these two reduces strain on your fingers and allows faster writing the causes lesser fatigue. Therefore, replacement of your pen and paper with our innovative products reduces cost of clerical jobs. Which of the following, if true, would weaken the conclusion drawn in the above argument?",Those who are already using the above new products report greater difficulty in transition from new products to regular ones than from the regular ones to the new ones.,The cost of manufacturing these new products is not more than the cost of manufacturing the regular ones and the new products last longer than the regular ones.,The number of offices using the new products is increasing month by month.,These products need to be purchased in huge lots and need to be stored in special conditions. The cost of procurement and strong is quite high.,These products need to be purchased in huge lots and need to be stored in special conditions. The cost of procurement and strong is quite high.,Hard
38,"4. Choose the correct alternative that will continue the same pattern and fill in the blank spaces: 2, 3, 5, 7, 11, (....), 17",12,13,14,15,13,Easy
39,"5.(A) The Archaeological Survey of India has submitted a report for the Supreme Court that there is no evidence to prove that the Rama Sethu is man made. (B) Mr. Kailash which is a natural formation, is considered holy and is received by Hindus and Buddists the world over.",if statement (A) is the cause and statement (B) is its effect.,if statement (B) is the cause and statement (A) is its effect.,if both the statements (A) and (B) are independent causes.,if both the statements (A) and (B) are effects of independent causes.,if both the statements (A) and (B) are effects of independent causes.,Medium
40,6. Study the following information carefully and answer the given questions: A word and number arrangement machine when given an input line of words and numbers rearranges them following a particular rule in each step. The following is an illustration of input and rearrangement: Input: 39 121 48 18 76 112 14 45 63 96 Step I: 14 39 121 48 18 76 112 45 63 96 Step II: 14 39 48 18 76 112 45 63 96 121 Step III: 14 18 39 48 76 112 45 63 96 121 Step IV: 14 18 39 48 76 45 63 96 112 121 Step V: 14 18 39 45 48 76 63 96 112 121 Step VI: 14 18 39 45 48 63 76 96 112 121 This is the final arrangement and step VI is the last step for this input. How many steps will be required for getting the final output for the following input? Input: 101 85 66 49 73 39 142 25 115 74,5,6,7,8,8,Hard
41,7. Statement: The principal instructed all the teachers to be careful in class because some students may disturb other students. Assumptions: I. The teachers may handle the situation properly and they may restrict the naughty students. II. The students will welcome the decision of the Principal.,If only assumption I is implicit,If only assumption II is implicit,If either I or II is implicit,If neither I nor II is implicit,If only assumption I is implicit,Medium
42,8. Labourer is related to wages in the same way as an entrepreneur is related to?,Loan,Interest,Taxes,Profit,Profit,Easy
43,11. 522 1235 2661 4800 7652 11217 ?,15495,16208,14782,16921,15495,Hard
44,1. He brought him with great difficulty.,about,in,up,over,up,Easy
45,2. VITUPERATE,abuse,rebuke,praise,retort,praise,Easy
46,"3. The young, thin boy surprised his wrestling opponent with his strength.",fraudulent,wiry,frolicsome,pretentious,wiry,Easy
47,4. An extremely deep crack or opening in the ground,Chasm,Aperture,Ditch,Pit,Chasm,Easy
48,5. Modern,ity,ty,ize,ite,ity,Easy
49,6. He took to (a) / reading Times (b) / for better knowledge (c) / of the facts (d)/ No error (e),he took to,reading times,for better knowledge,of the facts,reading times,Medium
50,7. Likelihood,liken,likely,like,likeable,like,Easy
51,"8. With Justine’s nature and passion for art, she would make an excellent tour guide for the museum.",volatile,congenial,servile,fledgling,congenial,Easy
52,9. The train had left.,past perfect,past continuous,past future,simple present,past perfect,Easy
53,10. You will have finished this work by tomorrow.,This work will be finished by tomorrow.,This work will finished tomorrow.,This work will have been finished by tomorrow.,This work will have been finished tomorrow.,This work will have been finished by tomorrow.,Medium
54,1. Express a speed of 36 kmph in meters per second?,10 mps,12 mps,14 mps,17 mps,10 mps,Easy
55,2. Express 25 mps in kmph?,15 kmph,99 kmph,90 kmph,,90 kmph,Easy
56,3. The speed of a train is 90 kmph. What is the distance covered by it in 10 minutes?,15 kmph,12 kmph,10 kmph,5 kmph,15 kmph,Easy
57,4. A car covers a distance of 624 km in 6 ½ hours. Find its speed?,104 kmph,140 kmph,104 mph,10.4 kmph,104 kmph,Easy
58,5. A and B complete a work in 6 days. A alone can do it in 10 days. If both together can do the work in how many days?,3.75 days,4 days,5 days,6 days,3.75 days,Medium
59,6. A can do a piece of work in 4 days. B can do it in 5 days. With the assistance of C they completed the work in 2 days. Find in how many days can C alone do it?,10 days,20 days,5 days,4 days,20 days,Medium
60,"7. A, B and C can do a piece of work in 24, 30 and 40 days respectively. They start the work together but C leaves 4 days before the completion of the work. In how many days is the work done?",15 days,14 days,13 days,11 days,11 days,Hard
61,"8. 5 men and 12 boys finish a piece of work in 4 days, 7 men and 6 boys do it in 5 days. The ratio between the efficiencies of a man and boy is?",01:02,02:01,02:03,06:05,06:05,Hard
62,9. A and B can finish a work in 16 days while A alone can do the same work in 24 days. In how many days B alone will complete the work?,56,48,36,58,48,Medium
63,10. Some persons can do a piece of work in 12 days. Two times the number of these people will do half of that work in?,3 days,4 days,6 days,12 days,3 days,Medium
64,11. What number has a 5:1 ratio to the number 10?,42,50,55,62,50,Easy
65,12. Two same glasses are respectively 1/4th 1/5th full of milk. They are then filled with water and the contents mixed in a tumbler. The ratio of milk and water in the tumbler is?,03:08,09:31,08:21,10:27,09:31,Hard
66,13. A and B entered into a partnership investing Rs.25000 and Rs.30000 respectively. After 4 months C also joined the business with an investment of Rs.35000. What is the share of C in an annual profit of Rs.47000?,Rs.18000,Rs.15000,Rs.17000,Rs.14000,Rs.14000,Hard
67,14. In how many years does a sum of Rs. 5000 yield a simple interest of Rs. 16500 at 15% p.a.?,22,24,25,23,22,Medium
68,15. The radius of a circle is increased by 1%. Find how much % does its area increases?,1.01%,5.01%,3.01%,2.01%,2.01%,Medium
69,"6. In a certain code language, letters with an odd position in the alphabet are replaced by “%”, and those with even-positions are replaced by their position numbers, then what is the sum of numbers in the code for the word PROJECTION”?",80,68,78,77,78,Medium
70,10. In which of the following sentences occurrence of vowels is the most?,I need everything on this list.,I want you to tell me this.,Look at the blackboard!,I did not expect it to be that big.,I did not expect it to be that big.,Easy
71,"11. The question given below is followed by two statements numbered I and II. Determine if the statements are, individually or together, sufficient to answer the question. Question: What is the Cost Price of flour? Statements: I. Kevin mixes flour and sugar in the ratio 3:5 to make pretzels. He sells pretzels at $10 per kg. II. The ratio of price of sugar and flour is 9:4 (per kg) and he earns 66(⅔) % profit.",Statements I and II together are not sufficient to answer the question asked and additional data to the problem is needed,Each statement alone is sufficient to answer the question,Only one of the statements, alone, is sufficient to answer the question but other statement is not,Both statements I and II together are sufficient to answer the question asked but neither statement alone is sufficient
72,"2. The sentences given below form a coherent passage when arranged logically. Choose the option which gives the correct sequence. (1) I had had the car serviced just the previous day, so I didn’t expect what happened next. (2) My wife stopped the car and asked me to check where the sound had come from . (3) My wife and I were taking a road trip to the other side of the country. (4) Just as we crossed out of state limits, we heard a loud pop. (5) And lo, we had not one, but two punctures, much to the anger of my wife.",3 1 4 2 5,1 3 4 2 5,1 3 4 5 2,3 1 4 5 2,3 1 4 2 5,Medium
73,"3. Fill in the blank with the most suitable option. I know you’re tired, and so I _______ arrangements for you to stay in the guest house tonight.",Have been made,Had been made,Have made,To make,Have made,Easy
74,4. Which part of the sentence given below has an error in it? When will you stop / blaming everyone else / and start take responsibility / for your actions?,Blaming everyone else,And start take responsibility,When will you stop,For your actions?,And start take responsibility,Easy
75,5. Fill in the blank with the most suitable option. I am _______ of the same routine every day.,Exhausted,Angry,Tired,Innocent,Tired,Easy
76,"12. The sentences given below from a coherent passage when arranged logically choose the option which gives the correct sequence. 1. I had seen the accused once before in the driveway of the mall in fact. 2. At the time of the crime I was existing from the movie theatre when i saw the accused pointing a gun at the cashier. 3. He took the cash ran quickly (and I chased), and then threw the bag of cash in the same car I had seen him in at the previous instance.",3 1 2,2 1 3,1 3 2,2 3 1,2 1 3,Medium
77,12. Rearrange the given phrases to form a complete sentence. Note: The phrases numbered 1 and 6 are fixed. 1. Yet so few of us have (A) walls of daily routine (B) the time or the means (C) that enclose our lives (D) to break through the narrow 6. to get to know this land,BDCA,ABDC,BDAC,DBAC,BDAC,Medium
78,"13. Rearrange the given phrases to form a complete sentence. Note: The phrases numbered 1 and 6 are fixed. 1. Effective writing involves A. careful choice of words, their organization B. in the correct order to C. well as cohesive composition D. form sentences, as 6. of sentences.",ABCD,ABDC,CDAB,BACD,ABDC,Medium
79,"Editor: I have received over five thousand letters and emails on the article that I wrote last week. Majority of those letters and emails support my viewpoint on the issue. These letters are, therefore, the testimonials that most of our readers have the same opinion on the issue as I do. Which of the following, if true, would weaken the editor’s conclusion above?",The issue was very important for the readers have a very objective opinion about the issue,Readers who agree with the editor’s view feel more strongly about the issue than those who disagree with him.,Readers who agree with the editor are more likely to write to him than those who disagree with him.,Those were other articles y the same editor which invited a lot of opinion of readers,Readers who agree with the editor are more likely to write to him than those who disagree with him.,Hard
80,"2. A food delivery company gained greater profits when it provided food delivery service in a city by following no-minimum order facility and by maintaining its own fleet of employees. Besides the commission it gets from restaurants, it charges no delivery charges for orders which are higher than a certain amount. Hoping to continue these financial trends, the company plans to start its operations in two new cities. The plan of the food delivery company as described above directly assumes all of the following EXCEPT:",The demand for food delivery service in the new cities will increase in future.,Expanding into markets will compensate for any new expenses the company incurs.,In the new cities, the company will be able to deliver food faster than the food delivery companies existing in those cities.,The company can find enough number of partner-restaurants in the new cities to earn more than what is needed to meet the fixed expenses it has to earn.,In the new cities
81,"3. In a row of 50 girls, Amy was made to sit 20 places to the right of Rose and Peter sat 20 places to the left of Emma. If Emma was thirty sixth from the left and there were four people between Peter and Amy. What was the position of Rose in the row?",20th from the right end,25th from the left end,49th from the right end,1st from the left end,49th from the right end,Hard
82,"4. In a row of friends, Tia occupies fifteenth place from the right end and Tina occupies twelfth place from the left end, respectively. Tristen is ninth on the left of Tia. If Tristen and Tia interchange their places, then Tristen occupies twentieth place from the left end. How many friends were there between Tristen and Tina originally?",15,12,0,3,0,Hard
83,"5. Five friends A, B, C, D and E, with different occupational backgrounds (Teacher, Doctor, Accountant, Businessman, Engineer) went for a conference. The doctor sat next to B. The engineer sat in between B and C. Neither A nor the accountant sat at any of the extreme ends. If D does not sit next to B, then which of the following is definitely sitting at one of the extreme ends?",A,B,C,D,D,Hard
84,"6. On a racing track, six players, U,V,W,X,Y and Z were positioned in such a way that U was to the left of Y and fourth to the left of X. W was in between and equidistant from Y and Z but Y is not adjacent to X. The winner was at the fourth section of the track from the left. Who was he?",U,Z,W,Z or W,Z or W,Hard
85,"7. Pradhan, Qureshi, rastogi, sharma and talreja are students coming from gwalior, Bhopal, indore, Ujjain and guna not necessarily in that order. They have topped in different subjects among math, English, hindi, science and geography. The student from guna has topped in math, Qureshi comes from Ujjain and sharma from gwalior. The student from indore has not topped in science. Pardhan topped in science and Talreja in geography. From which city does the topper in English come from?",Guna,Gwalior,Indore,Ujjain,Gwalior,Hard
86,"8. There are six houses in a colony, such that 3 houses are in one row and the other 3 houses are in the opposite row. The three houses in a row are equidistant from each other. Each house is exactly opposite the house in the other row. Each house is painted with a different color from red, blue, green, yellow, pink and orange. 1. Houses at the corner are not painted with blue and red color 2. House painted with orange color is not opposite the house painted with green color 3. Yellow and pink colored houses are not in the same row Which house is diagonally opposite the orange colored house?",Green,Yellow,Pink,Blue,Green,Hard
87,"9. Ranbir, Ranveer, Randheer, Ranjeet and Rajbeer maintain ranking for batting and bowling. The ranking was in descending order. Rajbeer, who was ranked first in batting, was last in bowling. Randheer had the same ranking in both and was just above Rajbeer in bowling. In batting, Ranbir was just above Ranjeet but in bowling, he was in the middle and he bowed after Ranveer. Who was ranked first as a bowler?",Ranveer,Randheer,Rajbeer,None of these,None of these,Hard
88,"10. Five friends, Jay, Raj, Shivansh, Monu and Mehul have different professions-Teacher, Singer, Police, Bank Manager and Actor. Each one wears different colors of ties-Yellow, Black, Grey, Green and orange though not respectively in the same order. Shivansh is an Actor but doesn't wear a Black or Orange colored tie. The person who is wearing Green colored tie is neither teacher nor police. Jay and Mehul are not Bank manager and they do not wear Yellow-colored tie. Grey colored tie is worn by Monu, who is neither a Singer nor a Bank Manager. Bank Manager wears a Green colored tie. Who is Bank Manager?",Jay,Raj,Monu,None of these,Raj,Hard
89,"11. Directions: The problem below consists of a problem followed by two statements. Decide whether the data in the statements is sufficient to answer the question. Select your answer depending upon whether the data provided in: (A) statement 1 alone is sufficient, but statement 2 alone is not sufficient to answer the question (B) statement 2 alones is sufficient, but statement 1 alone is not sufficient to answer the question (C) both statements taken together are sufficient to answer the question, but neither statement alone is sufficient to answer the question (D) each statement alone is sufficient to sufficient to answer the question (E) statements 1 and 2 together are not sufficient, and additional data is needed to answer the question Problem: Does the integer y have at least two different prime factors? Statement 1: y/10 is an integer. Statement 2: y/6 is an integer.",A,B,C,D,D,Hard
90,"12. Taxi drivers need to remember a complex web of tens of thousands of streets whereas, bus drivers, who follow a constrained set of routes, need only a limited knowledge of the city’s layout. It has been found that a part of the brain - the hippocampus - is much larger in the taxi drivers than that in the bus drivers with similar age and professional driving experience. The size of the hippocampus increases with years of professional driving experience only in the taxi drivers, and it shrinks back to the normal size when the taxi drivers retire. If the facts stated in the passage above are true, which of the following cannot be concluded about the human brain?",The size of the hippocampus region of the brain decreases with advancing age.,The size of the hippocampus region is a function of the demands placed on spatial memory by navigating in a complex, large space.,At least some specific structural changes in an adult human brain can be induced by relevant environmental stimulation,Brain changes acquired through learning and practice might be reversed when the call on stored knowledge lessens.,The size of the hippocampus region of the brain decreases with advancing age.
91,"13. It is the developed world that has the capability to combat climate change. It is these developed countries that have the research capabilities to come up with the necessary technology to make the economy greener, to produce renewable energy, to mitigate against the disasters. Moreover, these are the countries that have the finances available to fund these activities; not only funding the research looking for the solutions but also the financial resources to put them into action all around the world. Which of the following conclusions can most properly be drawn from the information given above?",Developing countries turn to powerful financial centers in developed countries to finance large projects to mitigate climate change.,Only developed countries have the expertise to put new inventions and projects into practice to mitigate climate change.,Developed nations, with their resources, have an increased responsibility to mitigate climate change.,Developed nations must be the forerunners of initiatives to combat change.
92,14. Consider the following statements and determine which of the given conclusions follow. Statement: A. All good jumpers win. B. All good jumpers eat well. Conclusions: I. All those who eat well are good jumpers. II. All those who win eat well.,Only I follows,Only II follows,Either I or II follows,None follow,None follow,Medium
93,15. Consider the following statements and determine which of the given conclusions follow. Statements: A. No pencil is an eraser. B. Pen is a pencil. Conclusions: I. Pen is not an eraser. II. All pencils are not pens.,Only conclusion I follow,Only conclusion II follows,Either conclusion I or II follows,Neither conclusions I or II follow,Only conclusion I follow,Medium
94,"6. In this series, you will be looking at a letter pattern. Which of the given options should fill in the blank? TEJ, VLG, XIN, ______",ZJO,ZJK,ZKO,ZPK,ZPK,Medium
95,"7. In this series, you will be looking at a letter pattern. Which of the given options should fill in the blank? F03K, I04H, _____, O09B, R13Y",M06D,L05D,M05E,L06E,L06E,Hard
96,"8. Which of the given options is the most suitable for completing the following series? 3,6,13,28,_____",56,57,58,59,59,Medium
97,"9. Which of the given options is the most suitable for completing the following series? 2,3,5,7,11,_________,17,19,23,29,31",12,13,14,15,13,Easy
98,1. Statements: I. Some apples are guavas. II. All apples are oranges. III. No orange is a papaya. IV. All papayas are guavas. Conclusions: I. Some papayas are apples. II. Some oranges are papayas. III. Some guavas are oranges.,Only conclusion III follows,Either conclusion I or conclusion III follows,None follow,Only conclusion I follows,Only conclusion III follows,Hard
